model,accuracy,precision,recall,f1
LogisticRegression,0.9943074003795066,0.9938411261940674,0.9944699437370448,0.9941516574003173
LinearSVC,0.9962049335863378,0.9954954954954955,0.996742671009772,0.9961035696329814
NaiveBayes,0.9848197343453511,0.9828521447681768,0.9863266212614747,0.9844524427661081
